HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.Pattern,Input.para_1_a,Input.para_1_b,Input.answer_1,Input.para_2_a,Input.para_2_b,Input.answer_2,Input.para_3_a,Input.para_3_b,Input.answer_3,Input.para_4_a,Input.para_4_b,Input.answer_4,Input.para_5_a,Input.para_5_b,Input.answer_5,Input.para_6_a,Input.para_6_b,Input.answer_6,Input.para_7_a,Input.para_7_b,Input.answer_7,Answer.ans1,Answer.ans2,Answer.ans3,Answer.ans4,Answer.ans5,Answer.ans6,Answer.ans7,Answer.comment,Approve,Reject
3N2YPY1GI8FL75NAPI1T393NHLTVER,3H2ZGQZOT0QV7QHFIRJLIDKEW1EXYP,Are these two sentences equivalent?,Indicate if two sentences are equivalent,"nlp, paraphrase",$0.10,Wed Jan 27 23:30:33 PST 2021,1,BatchId:307318;OriginalHitTemplateId:920937243;,3600,10800,Wed Feb 03 23:30:33 PST 2021,,,3LYA37P8IT4C6BF86QQXOCH1XZ1KB5,A6VJBV6TAG55Q,Approved,Thu Jan 28 14:40:55 PST 2021,Thu Jan 28 14:41:45 PST 2021,Thu Jan 28 17:41:45 PST 2021,Thu Jan 28 17:41:53 PST 2021,,,50,100% (7/7),100% (7/7),100% (7/7),P495,<i>Kalathur Kannamma</i> was created in <i>India</i> .,<i>Kalathur Kannamma</i> was begun in <i>India</i>.,paraphrase,<i>Kalathur Kannamma</i> was created in <i>India</i> .,<i>Kalathur Kannamma</i> was born in <i>India</i> .,distractor,<i>escabeche</i> was created in <i>Spain</i> .,"<i>escabeche</i>, that was started in <i>Spain</i>.",paraphrase,<i>Dziennik Ustaw</i> was created in <i>Poland</i> .,<i>Dziennik Ustaw</i> is located in <i>Poland</i> .,distractor,<i>The X Factor</i> was created in <i>Australia</i> .,"<i>The X Factor</i>, begun in <i>Australia</i>",paraphrase,<i>Lancashire wrestling</i> was created in <i>England</i> .,"<i>Lancashire wrestling</i>, that begun in <i>England</i>.",paraphrase,<i>Manitoba Chamber Orchestra</i> was created in <i>Canada</i> .,<i>Manitoba Chamber Orchestra</i> started in <i>Canada</i>.,paraphrase,2,2,2,2,1,1,1,{},,
3E22YV8GG3NCWR3RW5VDN48E9PTNPN,3H2ZGQZOT0QV7QHFIRJLIDKEW1EXYP,Are these two sentences equivalent?,Indicate if two sentences are equivalent,"nlp, paraphrase",$0.10,Wed Jan 27 23:30:33 PST 2021,1,BatchId:307318;OriginalHitTemplateId:920937243;,3600,10800,Wed Feb 03 23:30:33 PST 2021,,,3YJ6NA41JEXJZLA07A8MIHMDZEGPJW,A6VJBV6TAG55Q,Approved,Thu Jan 28 14:41:46 PST 2021,Thu Jan 28 14:42:23 PST 2021,Thu Jan 28 17:42:23 PST 2021,Thu Jan 28 17:42:53 PST 2021,,,37,100% (7/7),100% (7/7),100% (7/7),P176,<i>Yamaha TZR250</i> is produced by <i>Yamaha</i> .,"<i>Yamaha TZR250</i>, developed by <i>Yamaha</i>",paraphrase,<i>Triumph Stag</i> is produced by <i>Triumph</i> .,<i>Triumph Stag</i> is created by <i>Triumph</i>.,paraphrase,<i>Honda Life</i> is produced by <i>Honda</i> .,<i>Honda Life</i> plays <i>Honda</i> music .,distractor,<i>Triumph Stag</i> is produced by <i>Triumph</i> .,<i>Triumph Stag</i> is developed by <i>Triumph</i> .,distractor,<i>Pontiac Firebird</i> is produced by <i>Chevrolet</i> .,"<i>Pontiac Firebird</i>, created by <i>Chevrolet</i>.",paraphrase,<i>RC-135</i> is produced by <i>Boeing</i> .,<i>RC-135</i> is developed by <i>Boeing</i>.,paraphrase,<i>Dodge Dakota</i> is produced by <i>Dodge</i> .,"<i>Dodge Dakota</i>, produced by <i>Dodge</i>",paraphrase,1,1,2,1,1,1,1,{},,
3YCT0L9OMOQ99JJJOMZ7I9DPW90NS3,3H2ZGQZOT0QV7QHFIRJLIDKEW1EXYP,Are these two sentences equivalent?,Indicate if two sentences are equivalent,"nlp, paraphrase",$0.10,Wed Jan 27 23:30:35 PST 2021,1,BatchId:307318;OriginalHitTemplateId:920937243;,3600,10800,Wed Feb 03 23:30:35 PST 2021,,,3C5W7UE9CI7E92ICWYVVSM0X57KMXL,A6VJBV6TAG55Q,Approved,Thu Jan 28 14:34:44 PST 2021,Thu Jan 28 14:36:43 PST 2021,Thu Jan 28 17:36:43 PST 2021,Thu Jan 28 17:36:53 PST 2021,,,119,100% (7/7),100% (7/7),100% (7/7),P36,The capital of <i>Iran</i> is <i>Tehran</i> .,<i>Iran</i> used to communicate in <i>Tehran</i> .,distractor,The capital of <i>Cache County</i> is <i>Logan</i> .,"<i>Cache County</i>'s capital, <i>Logan</i>.",paraphrase,The capital of <i>Mount Lebanon Governorate</i> is <i>Beirut</i> .,The capital city of <i>Mount Lebanon Governorate</i> is <i>Beirut</i>.,paraphrase,The capital of <i>Indiana County</i> is <i>Indiana</i> .,<i>Indiana</i> is the capital city of <i>Indiana County</i>.,paraphrase,The capital of <i>Mount Lebanon Governorate</i> is <i>Beirut</i> .,<i>Mount Lebanon Governorate</i> and <i>Beirut</i> are twin cities .,distractor,The capital of <i>Denmark</i> is <i>Copenhagen</i> .,<i>Copenhagen</i> is the capital of <i>Denmark</i>.,paraphrase,The capital of <i>Iran</i> is <i>Tehran</i> .,"<i>Iran</i>'s capital city, <i>Tehran</i>.",paraphrase,2,1,1,1,2,1,1,{},,
31HLTCK4BNCJRJJ1VDRH3COZU18VG8,3H2ZGQZOT0QV7QHFIRJLIDKEW1EXYP,Are these two sentences equivalent?,Indicate if two sentences are equivalent,"nlp, paraphrase",$0.10,Wed Jan 27 23:30:35 PST 2021,1,BatchId:307318;OriginalHitTemplateId:920937243;,3600,10800,Wed Feb 03 23:30:35 PST 2021,,,3QJOXOW4XM8532RV1T534XFQP19EM4,A6VJBV6TAG55Q,Approved,Thu Jan 28 14:36:48 PST 2021,Thu Jan 28 14:37:32 PST 2021,Thu Jan 28 17:37:32 PST 2021,Thu Jan 28 17:37:53 PST 2021,,,44,100% (7/7),100% (7/7),100% (7/7),P190,<i>Prague</i> and <i>Frankfurt</i> are twin cities .,<i>Frankfurt</i> is a twin city of <i>Prague</i>.,paraphrase,<i>Toulouse</i> is located in <i>Europe</i> .,<i>Toulouse</i> belongs to the continent of <i>Europe</i>.,paraphrase,<i>Canad Inns Stadium</i> is owned by <i>Winnipeg</i> .,The <i>Winnipeg</i>-owned <i>Canad Inns Stadium</i>,paraphrase,<i>Kurt Tucholsky</i> used to work in <i>Berlin</i> .,<i>Kurt Tucholsky</i> worked in <i>Berlin</i>.,paraphrase,<i>Lake Vanda</i> is located in <i>Antarctica</i> .,<i>Lake Vanda</i> is a part of the continent of <i>Antarctica</i>.,paraphrase,<i>Yahoo! Sports</i> is owned by <i>Yahoo</i> .,<i>Yahoo</i> owns <i>Yahoo! Sports</i> .,paraphrase,<i>Khedoi</i> is located in <i>Gujarat</i> .,<i>Khedoi</i> was created in <i>Gujarat</i> .,distractor,1,1,1,1,1,1,2,{},,
3IHWR4LC7FUZCYTJD8GAWAH7YGZI8I,3H2ZGQZOT0QV7QHFIRJLIDKEW1EXYP,Are these two sentences equivalent?,Indicate if two sentences are equivalent,"nlp, paraphrase",$0.10,Wed Jan 27 23:30:38 PST 2021,1,BatchId:307318;OriginalHitTemplateId:920937243;,3600,10800,Wed Feb 03 23:30:38 PST 2021,,,3A4TN5196NZ4EQ66E5JVM47RN3XHC5,A6VJBV6TAG55Q,Approved,Thu Jan 28 14:37:34 PST 2021,Thu Jan 28 14:39:19 PST 2021,Thu Jan 28 17:39:19 PST 2021,Thu Jan 28 17:39:53 PST 2021,,,105,100% (7/7),100% (7/7),100% (7/7),P103,The native language of <i>Eduard Uspensky</i> is <i>Russian</i> .,<i>Russian</i> is <i>Eduard Uspensky</i>'s native language.,paraphrase,<i>Syed Ahmed Khan</i> is affiliated with the <i>Islam</i> religion .,<i>Syed Ahmed Khan</i> is the capital of <i>Islam</i> .,distractor,<i>Katsuaki Watanabe</i> works for <i>Toyota</i> .,"<i>Katsuaki Watanabe</i>, who works for <i>Toyota</i>.",paraphrase,<i>Latrobe River</i> is located in <i>Victoria</i> .,<i>Latrobe River</i> is in <i>Victoria</i> .,paraphrase,<i>Winter War</i> is located in <i>Finland</i> .,<i>Winter War</i> is in <i>Finland</i> .,paraphrase,<i>Tirana</i> and <i>Kiev</i> are twin cities .,<i>Kiev</i> and <i>Tirana</i> are twin cities.,paraphrase,"<i>Spencer Cavendish, 8th Duke of Devonshire</i> used to work in <i>London</i> .","<i>Spencer Cavendish, 8th Duke of Devonshire</i> used to communicate in <i>London</i> .",distractor,1,2,1,1,1,1,2,{},,
3DIIW4IV8RCYTX6H15QXFY12WU3I4B,3H2ZGQZOT0QV7QHFIRJLIDKEW1EXYP,Are these two sentences equivalent?,Indicate if two sentences are equivalent,"nlp, paraphrase",$0.10,Wed Jan 27 23:30:28 PST 2021,1,BatchId:307318;OriginalHitTemplateId:920937243;,3600,10800,Wed Feb 03 23:30:28 PST 2021,,,3LPW2N6LKWJOKR3BZU3MRDQ7PUDU5B,ALIW6KB005R8D,Approved,Thu Jan 28 16:38:30 PST 2021,Thu Jan 28 16:39:09 PST 2021,Thu Jan 28 19:39:09 PST 2021,Thu Jan 28 19:39:53 PST 2021,,,39,100% (15/15),100% (15/15),100% (15/15),P740,<i>Dagong Global Credit Rating</i> was founded in <i>Beijing</i> .,"<i>Dagong Global Credit Rating</i>, that was started in <i>Beijing</i>.",paraphrase,<i>The Pastels</i> was founded in <i>Glasgow</i> .,<i>The Pastels</i> is named after <i>Glasgow</i> .,distractor,<i>MyChildren MyBride</i> was founded in <i>Madison</i> .,<i>MyChildren MyBride</i> that was founded in <i>Madison</i>.,paraphrase,<i>Death Grips</i> was founded in <i>Sacramento</i> .,<i>Death Grips</i> plays in <i>Sacramento</i> position .,distractor,<i>Horsehead Corporation</i> was founded in <i>Pittsburgh</i> .,<i>Horsehead Corporation</i> started in <i>Pittsburgh</i>.,paraphrase,<i>The Pastels</i> was founded in <i>Glasgow</i> .,<i>The Pastels</i> was started in <i>Glasgow</i>,paraphrase,<i>Demonic Resurrection</i> was founded in <i>Mumbai</i> .,"<i>Demonic Resurrection</i>, founded in <i>Mumbai</i>.",paraphrase,1,2,1,2,1,1,1,{},,
37ZQELHEQ2F6BO6E4P3L60EJ4KINMR,3H2ZGQZOT0QV7QHFIRJLIDKEW1EXYP,Are these two sentences equivalent?,Indicate if two sentences are equivalent,"nlp, paraphrase",$0.10,Wed Jan 27 23:30:28 PST 2021,1,BatchId:307318;OriginalHitTemplateId:920937243;,3600,10800,Wed Feb 03 23:30:28 PST 2021,,,3WAKVUDHUZX37VHUNNIJPX43G08U7Q,ALIW6KB005R8D,Approved,Thu Jan 28 16:44:10 PST 2021,Thu Jan 28 16:45:04 PST 2021,Thu Jan 28 19:45:04 PST 2021,Thu Jan 28 19:45:53 PST 2021,,,54,100% (15/15),100% (15/15),100% (15/15),P1412,<i>Allan Warren</i> used to communicate in <i>English</i> .,<i>English</i> is the language used by <i>Allan Warren</i> .,paraphrase,<i>Philip Nel</i> used to communicate in <i>English</i> .,<i>Philip Nel</i> communicated in <i>English</i> .,paraphrase,<i>Leonora Fani</i> used to communicate in <i>Italian</i> .,<i>Leonora Fani</i> typically used <i>Italian</i> to communicate .,paraphrase,<i>Kiran Kumar</i> used to communicate in <i>Hindi</i> .,<i>Hindi</i> was a language used by <i>Kiran Kumar</i> .,paraphrase,<i>Kiran Kumar</i> used to communicate in <i>Hindi</i> .,<i>Kiran Kumar</i> is <i>Hindi</i> citizen .,distractor,<i>Henry Drummond Wolff</i> used to communicate in <i>English</i> .,<i>Henry Drummond Wolff</i> used <i>English</i> to communicate .,paraphrase,<i>Henry Drummond Wolff</i> used to communicate in <i>English</i> .,<i>Henry Drummond Wolff</i> is located in <i>English</i> .,distractor,1,1,1,1,2,1,2,{},,
3H4IKZHALDZCT6REGQILJF3J9ASNNR,3H2ZGQZOT0QV7QHFIRJLIDKEW1EXYP,Are these two sentences equivalent?,Indicate if two sentences are equivalent,"nlp, paraphrase",$0.10,Wed Jan 27 23:30:28 PST 2021,1,BatchId:307318;OriginalHitTemplateId:920937243;,3600,10800,Wed Feb 03 23:30:28 PST 2021,,,3TVSS0C0E4H3XX36VQ0LCHHIQDAWT3,ALIW6KB005R8D,Approved,Thu Jan 28 16:35:05 PST 2021,Thu Jan 28 16:36:30 PST 2021,Thu Jan 28 19:36:30 PST 2021,Thu Jan 28 19:36:53 PST 2021,,,85,100% (15/15),100% (15/15),100% (15/15),P19,<i>Gustav Struve</i> was born in <i>Munich</i> .,<i>Gustav Struve</i> is native to <i>Munich</i>.,paraphrase,<i>Gregorio Leti</i> was born in <i>Milan</i> .,<i>Gregorio Leti</i> was originally from <i>Milan</i>.,paraphrase,<i>Mehdi Hosseini</i> was born in <i>Tehran</i> .,<i>Mehdi Hosseini</i> was native to <i>Tehran</i>.,paraphrase,<i>Francesco Balducci Pegolotti</i> was born in <i>Florence</i> .,<i>Francesco Balducci Pegolotti</i> is originally from <i>Florence</i>.,paraphrase,<i>Gregorio Leti</i> was born in <i>Milan</i> .,<i>Gregorio Leti</i> is a member of <i>Milan</i> .,distractor,<i>Martin Middlebrook</i> was born in <i>Boston</i> .,<i>Martin Middlebrook</i> originated from <i>Boston</i>.,paraphrase,<i>Gustav Struve</i> was born in <i>Munich</i> .,<i>Gustav Struve</i> is a member of <i>Munich</i> .,distractor,1,1,1,1,2,1,2,{},,
3WKGUBL7S130JYENM8NA7ETUDYXL4S,3H2ZGQZOT0QV7QHFIRJLIDKEW1EXYP,Are these two sentences equivalent?,Indicate if two sentences are equivalent,"nlp, paraphrase",$0.10,Wed Jan 27 23:30:29 PST 2021,1,BatchId:307318;OriginalHitTemplateId:920937243;,3600,10800,Wed Feb 03 23:30:29 PST 2021,,,39DD6S19JSS529QEGIVXCZBZ45RZE6,ALIW6KB005R8D,Approved,Thu Jan 28 16:46:17 PST 2021,Thu Jan 28 16:46:37 PST 2021,Thu Jan 28 19:46:37 PST 2021,Thu Jan 28 19:46:53 PST 2021,,,20,100% (15/15),100% (15/15),100% (15/15),P27,<i>Gianni Ferrio</i> is <i>Italy</i> citizen .,<i>Gianni Ferrio</i> holds a citizenship of <i>Italy</i>.,paraphrase,<i>Irfan Habib</i> is <i>India</i> citizen .,"<i>Irfan Habib</i>, a citizen of <i>India</i>.",paraphrase,<i>Maud Olofsson</i> is <i>Sweden</i> citizen .,<i>Maud Olofsson</i> is a citizen of <i>Sweden</i>.,paraphrase,<i>Oscar I of Sweden</i> is <i>Sweden</i> citizen .,<i>Oscar I of Sweden</i> has the position of <i>Sweden</i> .,distractor,<i>Gianni Ferrio</i> is <i>Italy</i> citizen .,<i>Gianni Ferrio</i> plays in <i>Italy</i> position .,distractor,<i>Florent Brard</i> is <i>France</i> citizen .,<i>Florent Brard</i> has a citizenship of <i>France</i>.,paraphrase,<i>Oscar I of Sweden</i> is <i>Sweden</i> citizen .,"<i>Oscar I of Sweden</i>, who is a citizen of <i>Sweden</i>.",paraphrase,1,1,1,2,2,1,1,{},,
3OCZWXS7ZQOIFHIN0D6KC6Z8DUSL5X,3H2ZGQZOT0QV7QHFIRJLIDKEW1EXYP,Are these two sentences equivalent?,Indicate if two sentences are equivalent,"nlp, paraphrase",$0.10,Wed Jan 27 23:30:29 PST 2021,1,BatchId:307318;OriginalHitTemplateId:920937243;,3600,10800,Wed Feb 03 23:30:29 PST 2021,,,3IHR8NYAMAITW3RF43LICFXUHHR4PL,ALIW6KB005R8D,Approved,Thu Jan 28 16:37:53 PST 2021,Thu Jan 28 16:38:28 PST 2021,Thu Jan 28 19:38:28 PST 2021,Thu Jan 28 19:38:53 PST 2021,,,35,100% (15/15),100% (15/15),100% (15/15),P47,<i>Austria-Hungary</i> shares border with <i>Switzerland</i> .,<i>Austria-Hungary</i> is a subclass of <i>Switzerland</i> .,distractor,<i>Haryana</i> shares border with <i>Punjab</i> .,<i>Haryana</i> borders with <i>Punjab</i>.,paraphrase,<i>Hebei</i> shares border with <i>Beijing</i> .,<i>Beijing</i> borders with <i>Hebei</i>.,paraphrase,<i>Slovenia</i> shares border with <i>Italy</i> .,<i>Slovenia</i> shares the border with <i>Italy</i>.,paraphrase,<i>Estonia</i> shares border with <i>Russia</i> .,<i>Estonia</i> shares a common border with <i>Russia</i>.,paraphrase,<i>Algeria</i> shares border with <i>Mali</i> .,<i>Algeria</i> shares its border with <i>Mali</i>.,paraphrase,<i>Regional Municipality of Peel</i> shares border with <i>Toronto</i> .,<i>Regional Municipality of Peel</i> was founded in <i>Toronto</i> .,distractor,2,1,1,1,1,1,2,{},,
3QO7EE372Q4VVUF9TS5TWEYUXW1QBS,3H2ZGQZOT0QV7QHFIRJLIDKEW1EXYP,Are these two sentences equivalent?,Indicate if two sentences are equivalent,"nlp, paraphrase",$0.10,Wed Jan 27 23:30:40 PST 2021,1,BatchId:307318;OriginalHitTemplateId:920937243;,3600,10800,Wed Feb 03 23:30:40 PST 2021,,,3OVHNO1VE9I0A3CEKNKD6HTE4TQZDD,ALIW6KB005R8D,Approved,Thu Jan 28 16:36:35 PST 2021,Thu Jan 28 16:37:49 PST 2021,Thu Jan 28 19:37:49 PST 2021,Thu Jan 28 19:37:53 PST 2021,,,74,100% (15/15),100% (15/15),100% (15/15),P1376,<i>Niamey</i> is the capital of <i>Niger</i> .,The capital city of <i>Niger</i> is <i>Niamey</i>.,paraphrase,<i>Tokyo</i> is the capital of <i>Japan</i> .,The capital of <i>Japan</i> is <i>Tokyo</i>.,paraphrase,<i>Huacho</i> is the capital of <i>Lima</i> .,<i>Huacho</i> is the capital city of <i>Lima</i>.,paraphrase,<i>Des Moines</i> is the capital of <i>Iowa</i> .,"<i>Iowa</i>'s capital city, <i>Des Moines</i>.",paraphrase,<i>Antananarivo</i> is the capital of <i>Madagascar</i> .,<i>Antananarivo</i> shares border with <i>Madagascar</i> .,distractor,<i>Tokyo</i> is the capital of <i>Japan</i> .,<i>Tokyo</i> used to communicate in <i>Japan</i> .,distractor,<i>Vienna</i> is the capital of <i>Austria</i> .,"<i>Austria</i>'s capital, <i>Vienna</i>.",paraphrase,1,1,1,1,2,2,1,{},,
3GV1I4SEOB6EYLI15WGP4CD89P3L6D,3H2ZGQZOT0QV7QHFIRJLIDKEW1EXYP,Are these two sentences equivalent?,Indicate if two sentences are equivalent,"nlp, paraphrase",$0.10,Wed Jan 27 23:30:40 PST 2021,1,BatchId:307318;OriginalHitTemplateId:920937243;,3600,10800,Wed Feb 03 23:30:40 PST 2021,,,3JW0YLFXRWXVPE70QV5WZ1OHU7SWWT,ALIW6KB005R8D,Approved,Thu Jan 28 16:45:48 PST 2021,Thu Jan 28 16:46:14 PST 2021,Thu Jan 28 19:46:14 PST 2021,Thu Jan 28 19:46:53 PST 2021,,,26,100% (15/15),100% (15/15),100% (15/15),P178,<i>Fortran</i> is developed by <i>IBM</i> .,"<i>Fortran</i>, developed by <i>IBM</i>.",paraphrase,<i>Pentium</i> is developed by <i>Intel</i> .,<i>Pentium</i> was created by <i>Intel</i>,paraphrase,<i>Microsoft OneNote</i> is developed by <i>Microsoft</i> .,<i>Microsoft OneNote</i> was developed by <i>Microsoft</i>.,paraphrase,<i>Windows Driver Frameworks</i> is developed by <i>Microsoft</i> .,"<i>Windows Driver Frameworks</i>, created by <i>Microsoft</i>.",paraphrase,<i>Google AdSense</i> is developed by <i>Google</i> .,The headquarter of <i>Google AdSense</i> is in <i>Google</i> .,distractor,<i>Windows Server 2008 R2</i> is developed by <i>Microsoft</i> .,<i>Windows Server 2008 R2</i> is created by <i>Microsoft</i>,paraphrase,<i>Microsoft OneNote</i> is developed by <i>Microsoft</i> .,<i>Microsoft OneNote</i> is a subclass of <i>Microsoft</i> .,distractor,1,1,1,1,2,1,2,{},,
3KG2UQJ0ML5XW346WIA2N9YOELFNQE,3H2ZGQZOT0QV7QHFIRJLIDKEW1EXYP,Are these two sentences equivalent?,Indicate if two sentences are equivalent,"nlp, paraphrase",$0.10,Wed Jan 27 23:30:33 PST 2021,1,BatchId:307318;OriginalHitTemplateId:920937243;,3600,10800,Wed Feb 03 23:30:33 PST 2021,,,3K3R2QNK8EK7LE5N2KG33TV9BQWU92,ALIW6KB005R8D,Approved,Thu Jan 28 16:46:40 PST 2021,Thu Jan 28 16:46:59 PST 2021,Thu Jan 28 19:46:59 PST 2021,Thu Jan 28 19:47:53 PST 2021,,,19,100% (15/15),100% (15/15),100% (15/15),P20,<i>Karl Liebknecht</i> died in <i>Berlin</i> .,The official language of <i>Karl Liebknecht</i> is <i>Berlin</i> .,distractor,<i>Joseph Desha</i> died in <i>Georgetown</i> .,<i>Joseph Desha</i> passed away in <i>Georgetown</i>.,paraphrase,<i>Sebastiano Bombelli</i> died in <i>Venice</i> .,<i>Sebastiano Bombelli</i> shares border with <i>Venice</i> .,distractor,<i>Sebastiano Bombelli</i> died in <i>Venice</i> .,<i>Sebastiano Bombelli</i> expired at <i>Venice</i>.,paraphrase,<i>Decio Azzolino</i> died in <i>Rome</i> .,<i>Decio Azzolino</i> died at <i>Rome</i>.,paraphrase,<i>Ali Mansur</i> died in <i>Tehran</i> .,<i>Ali Mansur</i> lost his life at <i>Tehran</i>.,paraphrase,<i>Edmund Curll</i> died in <i>London</i> .,<i>Edmund Curll</i> passed away at <i>London</i>.,paraphrase,2,1,2,1,1,1,1,{},,
3YGYP13643QX84J69XZ2SZ8TA7HNRF,3H2ZGQZOT0QV7QHFIRJLIDKEW1EXYP,Are these two sentences equivalent?,Indicate if two sentences are equivalent,"nlp, paraphrase",$0.10,Wed Jan 27 23:30:33 PST 2021,1,BatchId:307318;OriginalHitTemplateId:920937243;,3600,10800,Wed Feb 03 23:30:33 PST 2021,,,3D8YOU6S9H1K3V3P4DDRJJ47LPOU6R,ALIW6KB005R8D,Approved,Thu Jan 28 16:41:51 PST 2021,Thu Jan 28 16:43:34 PST 2021,Thu Jan 28 19:43:34 PST 2021,Thu Jan 28 19:43:53 PST 2021,,,103,100% (15/15),100% (15/15),100% (15/15),P136,<i>Stanley Clarke</i> plays <i>jazz</i> music .,"<i>Stanley Clarke</i>, who plays <i>jazz</i> music",paraphrase,<i>Don't Wait Up</i> plays <i>sitcom</i> music .,<i>sitcom</i> musicians <i>Don't Wait Up</i>.,paraphrase,<i>Alberto Socarras</i> plays <i>jazz</i> music .,<i>Alberto Socarras</i> was founded in <i>jazz</i> .,distractor,<i>Alberto Socarras</i> plays <i>jazz</i> music .,"<i>Alberto Socarras</i>, who plays <i>jazz</i>.",paraphrase,<i>Joseph Jarman</i> plays <i>jazz</i> music .,<i>jazz</i> musicians such as <i>Joseph Jarman</i>.,paraphrase,<i>Alberto Socarras</i> plays <i>jazz</i> music .,<i>Alberto Socarras</i> plays in <i>jazz</i> position .,distractor,<i>Iain Ballamy</i> plays <i>jazz</i> music .,<i>Iain Ballamy</i> plays <i>jazz</i>.,paraphrase,1,1,2,1,1,2,1,{},,
31GN6YMHLR9ZWDSXGNQUESQGPL4SWZ,3H2ZGQZOT0QV7QHFIRJLIDKEW1EXYP,Are these two sentences equivalent?,Indicate if two sentences are equivalent,"nlp, paraphrase",$0.10,Wed Jan 27 23:30:33 PST 2021,1,BatchId:307318;OriginalHitTemplateId:920937243;,3600,10800,Wed Feb 03 23:30:33 PST 2021,,,3O6CYIULEGIIXAIVVVQVHD3K9RHWUU,ALIW6KB005R8D,Approved,Thu Jan 28 16:39:12 PST 2021,Thu Jan 28 16:40:11 PST 2021,Thu Jan 28 19:40:11 PST 2021,Thu Jan 28 19:40:53 PST 2021,,,59,100% (15/15),100% (15/15),100% (15/15),P449,<i>Cartoon Sushi</i> was originally aired on <i>MTV</i> .,the <i>MTV</i> debut of <i>Cartoon Sushi</i>.,paraphrase,<i>Blowin' Up</i> was originally aired on <i>MTV</i> .,<i>MTV</i> debuted <i>Blowin' Up</i>.,paraphrase,<i>Good Sports</i> was originally aired on <i>CBS</i> .,<i>Good Sports</i> is located in <i>CBS</i> .,distractor,<i>Rita Rocks</i> was originally aired on <i>Lifetime</i> .,<i>Rita Rocks</i> is to debut on <i>Lifetime</i>.,paraphrase,<i>Little Britain USA</i> was originally aired on <i>HBO</i> .,<i>HBO</i> is to debut <i>Little Britain USA</i>.,paraphrase,<i>Winter Is Coming</i> was originally aired on <i>HBO</i> .,<i>Winter Is Coming</i> debuted on <i>HBO</i>.,paraphrase,<i>Winter Is Coming</i> was originally aired on <i>HBO</i> .,<i>Winter Is Coming</i> and <i>HBO</i> are twin cities .,distractor,1,1,2,1,1,1,2,{},,
3IKDQS3DQGH1O1JWUKWFYWDQO7KICO,3H2ZGQZOT0QV7QHFIRJLIDKEW1EXYP,Are these two sentences equivalent?,Indicate if two sentences are equivalent,"nlp, paraphrase",$0.10,Wed Jan 27 23:30:41 PST 2021,1,BatchId:307318;OriginalHitTemplateId:920937243;,3600,10800,Wed Feb 03 23:30:41 PST 2021,,,3ZQIG0FLQHXIAP7V0L00DZ53NYQWVJ,ALIW6KB005R8D,Approved,Thu Jan 28 16:43:37 PST 2021,Thu Jan 28 16:44:06 PST 2021,Thu Jan 28 19:44:06 PST 2021,Thu Jan 28 19:44:53 PST 2021,,,29,100% (15/15),100% (15/15),100% (15/15),P407,<i>Architectural Review</i> was written in <i>English</i> .,<i>Architectural Review</i> is written in <i>English</i>.,paraphrase,<i>Life</i> was written in <i>English</i> .,"<i>Life</i>, written in the <i>English</i> language.",paraphrase,<i>Bangkok Post</i> was written in <i>English</i> .,<i>Bangkok Post</i> is written in the <i>English</i> language.,paraphrase,<i>C'est si bon</i> was written in <i>French</i> .,<i>C'est si bon</i> is named after <i>French</i> .,distractor,<i>Uncle Vanya</i> was written in <i>Russian</i> .,<i>Uncle Vanya</i> is located in <i>Russian</i> .,distractor,<i>Publishers Weekly</i> was written in <i>English</i> .,<i>Publishers Weekly</i> was written in the <i>English</i> language.,paraphrase,<i>Hillsong Global Project</i> was written in <i>Spanish</i> .,The language of <i>Hillsong Global Project</i> is <i>Spanish</i>.,paraphrase,1,1,1,2,2,1,1,{},,
